,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
63,A.A.,Peterborough Land Rover,en,2019-09-05T14:55:58Z,"In relation to PETERBOROUGH LAND ROVER

WE were in negotiations on the purchase of a particular vehicle.  I was assured it would not be available to anyone during our negotiations - I even offered a deposit - (which were only delayed due to the sales guys day off and the car being with technicians that day for approval.)  However, I was notified the next day (only after I enquired) that they had sold it!  Was he really on a day off? Was the car with the techs?  What a way of doing business? Strange to say the least.",1,Land Rover
64,janet hughes,I'm on my 4th Land Rover and absolutely…,en,2019-09-02T08:36:41Z,"I'm on my 4th Land Rover and absolutely love them, some of the dealers are a bit hit and miss, but I've found a good one and have not had any problems.",5,Land Rover
65,working 4u,Land Rover Love Older Land Rover Customers,en,2019-08-31T16:23:39Z,"Terrible dealer support via Sytner.  Complete crooks, told my 78 year old father that a amplifier was at fault which had already been removed 6 years ago.  It gets better, they said they could change the unit for £998 . Guy Salmon in this case are the dealer but still a Synter brand.  I hate to say this but they seem to prey on older people with Land Rovers/Range Rovers who trust main agents.",1,Land Rover
66,Sushil Srivastava,Horrendous car backed by equally…,en,2019-08-17T03:25:39Z,"Horrendous car backed by equally horrendous service.

I have a 3.5 year old Landrover discovery sport, had at least 6 to 7 incidents requiring call outs and recalls mostly to do with the DPF filter getting filled up, oil filter needing replacing etc. I am blamed for my driving style of making short journeys by Landrover. This of course was not being explained at the time of purchase but now that seems to be the defaul explanation. Charged me £900 for oil filter change which was done just 6 months before that, and off course I am to blame for my driving style. 

Absolutely disgusted.Never ever a Landrover",1,Land Rover
67,GARY Fraser,The rudeness and arrogance I found…,en,2019-08-15T17:57:58Z,"The rudeness and arrogance I found with…
The rudeness and arrogance I found with these people is incredible. See below
Dear Sharon  your ignorance, arrogance and rudeness is astonishing. You refused to put me through to your line manager to discuss the issues with my vehicle. You claim that the vehicle has been in twice and there have been no faults found. I have never heard so much rubbish in all my life. The first time the car was in for multiple electrical issues, I was advised by the service manager and was shown that the car had 22 electrical faults. After my car being in the dealership for a substantial period of time, they cleared the faults but could not get them to reactivate. Clearing faults by a computer does not resolve the problem!! They stated they could not find the problem. These faults continues and I visited the dealership on numerous occasions. Last week, the final straw was when the cars seat crushed me in between it and the steering wheel, then proceeded to move to the fully extended position and thereafter, recline. For this to happen during a thunderstorm and torrential rain created a huge health and safety risk and a huge potential for an accident. Your Landrover assistance attended the vehicle at my home. When the technician plugged the vehicle in, it showed multiple CAN Bus faults. This clearly demonstrates volatile voltage readings. This is exactly why the vehicle was taken immediately to the dealership. For you now to state that there were no faults found on both occasions is incredible. I therefore insist you escalate this matter urgently to your executive team. In the meantime, I will post my findings on Trust Pilot.",1,Land Rover
68,Steven Hudson,Absolutely rubbish service,en,2019-07-31T14:05:55Z,"Booked Range Rover Sport in for a service with the Guildford Inchape branch about 8 weeks ago. The car was under warranty. They found 2 minor oil leaks but could not locate the source but fixed a problem with the air con not working. I was told that I would have to collect the car and rebook to get the oil leaks fixed which I did. I was told that the work would take a day. The car was ready 5 days later !! I collected the car on the hottest day on record (July 19) started driving home and realised that the air conditioning was not working again. I just rang to rebook the car in to get the problem fixed and asked if I could leave my car with them for 8 days as I was going on holiday and that was the most convenient time to be without a car (If you book courtesy car you have to wait months for availability). The guy on the phone told me that unfortunately you are not allowed to leave the car for that amount of time !!! Computer said no. Absolutely diabolical level of service. I've decided to put up with the air con not working and sell the car and get another make so I don't have to deal with these jokers anymore. Would never really waste times doing these review things but this is warranted. If anyone is reading I'd think twice about buying a car from these people.When I told the guy I couldn't be bothered to book the car in anymore he just said ""Sound"" - They couldn't care a less about their customers.",1,Land Rover
69,Helen Jessop,Nothing but problems. My first and last Range Rover!,en,2019-07-23T00:04:50Z,"Nothing but problems for the first three years of ownership, both mechanical (power steering and a load of sensors dying on me at speed on the motorway and high speed A roads on no less than 3 occasions before they finally found the cause - a faulty wiring loom in the steering column trapping the wires and shorting them) and electronic (every time the software was updated two weeks later it would tell me the AdBlue quality was poor and give me 500 miles to sort it, when I drive 300 miles a week minimum and the lead time to get a service slot was more than 2 weeks!). I bought an extended warranty at £700 for the 4th year for peace of mind, only for an engine warning light to show up 6 months in and it still cost me £175 to get it looked at and a £11.50 part replaced. Such an unreliable, and on several occasions dangerous, car with an expensive but worthless warranty.  Needless to say that after today’s additional cost my vehicle has been listed on Autotrader to get shut of it. I would never ever recommend someone to buy a Land Rover based on my experience and that of my boss who is also a Land Rover driver and whose car I regularly have to book in for random issues.",1,Land Rover
70,Sam,Land Rover - above and beyond (absolutely not!!),en,2019-07-21T10:35:48Z,"After thinking I’d bought the best brand and buying a new discovery sport, how wrong was I.
As others state...As soon as you’ve paid upfront for your car, they couldn’t give a s**t.
Had a battery fail on me which resulted in my boot not being able to open (very handy with 2 children under 3 and trying to get a buggy back in the boot).
Land Rover assist came out numerous times sending their findings to bishops Stortford branch. They completely ignore what’s on the worksheet and continued to just charge over night and return the following day. Eventually fitted a new battery and it’s fine now.
Intermittent power when accelerating off a roundabout or overtaking on a motorway.. they deem as safe and just keep doing regular updates which prevent the problem for 2ish weeks. Have gone to complaints who promised an extended years warranty only to now be told I won’t be getting it. Told I don’t drive the car enough so this is what happens and also this isn’t a common fault with these models although I’ve read on forums that people are having the same issue.
Lovely and helpful at the start and then they don’t want to know. Will be going higher than their complaints team as had enough of their BS and lack of help.
Stay clear of Land Rover.. and if you do buy1, finance it so you can throw the keys at them and walk away",1,Land Rover
71,Stu,If this is the best of British business. How will we cope after BREXIT?,en,2019-07-17T20:13:41Z,"Several instances of bad customer service all from different JLR Sales/Service Centres. 

1. When searching for a new car I was openly frowned upon when in JLR sales centre Exeter must note I’m wearing holiday casual clothes. At the time I didn’t pay it attention but did happen in other sales centres less obviously. 
2.  Purchased new LR Discovery Sport (2017) LR Salisbury. Car wasn’t prepared for road correctly. 3 x tyres still overinflated from storage, car mats not fitted etc. Although minor, what else wasn’t done? I realised this over a month later. 
3. Post purchase door rattle fix. LR Guildford  told rattle is most prominent on a warmer day when driving on a slight right hand bend. 
Garage tested vehicle with 4 x left turns in slow moving traffic. 
4.  While you wait service in LR Swindon???  After nearly 5 hour wait, also completely ignored in showroom, but did notice you got coffee if you wore a suit, to find valet hadn’t happened and items for attention hadn’t been passed on. Complained to LR UK, who simply passed issue back to service centre. LR Service Centre left voicemail asking is there a problem??
5. Time to renew with LR Salisbury. Several emails unanswered and promises we’ve been calling. Yet no missed calls 
Eventually I was told your car is in negative equity as we have a new model out.  Give us more money per month and a deposit and we’ll continue to treat you like a fool (paras 1-4). We buy any car have offered a better deal and will clear PCP finance. Even if I wanted another LR, which I don’t, I’m better off dealing with we buy any car and using the remainder as a deposit. 

But I am a valued customer I’m told.",1,Land Rover
72,Michael Puehse,Don't Ever Purchase a Land Rover!!!,en,2019-07-08T15:50:01Z,"Don't Ever Purchase a Land Rover!!!!  There is a reason, they have an average 1-star rating.  Here is an email I sent them explaining my issue.  No Reply from their Customer Relationship Specialist despite leaving messages every day for a week.

I am writing you in hope of getting my issue resolved satisfactorily and quickly.  I am the owner of a 2014 Land Rover Evoque purchased in December 2017 with 27,000 miles.  In the less than 18 months, this vehicle has require more than $15,000 in repairs, including replacing the turbo on 6/13/18.  Less than a year later (June 1, 2019), the turbo has failed again.  I brought the vehicle in to Land Rover North Scottsdale and was told that the turbo is only guaranteed for 12 months if I paid for it.  If Land Rover paid for it (which they did), they tell me there is no warranty which is ridiculous.  The service/part should be guaranteed for 12 months regardless of who pays for it.

The turbo failed June 1st about the same time I brought it in to Land Rover North Scottsdale.  At that time, they informed me that I would have to pay for the diagnostic check ($175) and that Land Rover would be covering the repair.  I picked up the car and called Customer Relations.  To this day I cannot understand the reps name, but it is hard to understand.  Regardless, her direct line is 801-887-6430.  To have this person assigned as a customer relations specialist is quite frankly a joke.  I cannot recall the last time I have received such awful service and follow-up.  I called her shortly after bringing the car back home.  She called me after a few days (while I was on vacation in Curacao).  She told me it was necessary to bring the car back in  and have it diagnosed so they can determine it is in fact the turbo.  I explained I was in Curacao until 6/13, but would make an appointment and bring it in the day after we returned.  The car was brought in on 6/14.  They had it for a week and told me that they were working with your customer relations department.  The customer service rep called me on 6/19 asking if I have had a chance to bring the car in.  I informed her that it was brought in on 6/14 and that they have no had it for 5 days.  On 6/24, Land Rover North Scottsdale tells me that corporate wants to do further diagnostics to the tune of $750 (removing valve cover) and suggesting the failed turbo may ne the result of a missed oil change. What???  On 6/24, I call the customer relations specialist to tell her I am not happy being asked to pay another $750 in what appears to be an attempt by Land Rover to avoid responsibility.  She tells me my service advisor (Alan) was out until 6/27, but she left a message with the service director (Robert) and would call be back later in the afternoon or next day.  I receive no call later that day or next day as promised on 6/25.  I call her in the afternoon and ask for an update.  I get no return call.  Wednesday, 6/26 comes and goes with again no call.  I call her again on 6/27 and request a call asap.  I express my displeasure with not being called back as promised and suggest she have her supervisor call me if she is too busy.  No call.  I call again on Friday, 6/28 and again express my displeasure at the lack of follow-up.  This time, I tell her if I do not hear back from her by end of day, I will be contacting Land Rover’s executive offices so here we are.

Whoever this individual is representing Land Rover’s customer relations department is not doing her job or representing Land Rover in a positive light.  I am extremely disappointed in this entire experience and trust you will help me to get it resolved to my satisfaction and expediently.  If not, I will be sure to share this experience with all of my North Scottsdale friends and business colleagues.  This treatment is just not right and no customer of any make should be required to pay for a turbo system that cannot even last 12 months.  If you are not the correct individual to handle this, I would appreciate it if you would point me in the direct of someone in senior management who is.

I have attached a pdf of all the repairs the car has required since we have had it, as well as, the most recent diagnostic report.

Sincerely,

Michael",1,Land Rover
73,Mark white,Land Rover are becoming more…,en,2019-07-02T15:07:05Z,"Land Rover are becoming more unreliable, the back up from such a well known brand is indescribable. Back up is awful and you have to wait weeks/months for anybody to come back to you. I own three Land Rovers and I can not wait to see the back of them.",1,Land Rover
74,Lianne,The worst customer experience I have…,en,2019-06-28T08:24:01Z,"The worst customer experience I have ever had! When I was buying the car it was certainly the best with numerous calls, chasing and prompt responses. Just as soon as I left the dealership I was told that Zaman the Sales person would call me on the Monday to see how I was getting on and whether I was able to connect my car to the phone app, as they couldn't at the dealers.....surprise no call! Not only could I do this but the DB stereo didn't work well and more importantly the air con just blew out warm air. Well, as you can imagine, on a day like today and travelling 3 hours a day by car to work, it is a horrendous experience! I have complained and called about 5 times and the best they could do was in 3-4 weeks time! Even though I had received a standard letter saying call for a free one month check!


Finally Barry from complaints called and said he was so sorry and this he agreed was terrible service and that he would send someone to collect my car today to rectify the issues! Well 8 am came and went and it is now 9.15, having stayed home from work and guess what? No Barry!

Apparently after calling them and being on the phone for 15 mins whilst a woman panted and puffed all around the building looking for Barry, he finally came on the phone to say they didn't have a car for me and that he was so sorry! I cannot breathe! I am livid and do not want the car anymore! I will never ever ever buy from them again and how mad I was to have in the first place,  especially after now reading all of these appauling reviews! I can honestly say that I am now tempted to go to watchdog and make sure that people are aware of what they are getting themselves into when spending such large amounts of their money! Disgusting attitudes, incompetent money grabbers!",1,Land Rover
75,Customer,Absolutely the worst ever customer…,en,2019-06-25T15:42:56Z,"Absolutely the worst ever customer care.  Eager to sell you the vehicle but once that is done, Land Rover wash their hands off you.

This is from, front desk to repairs, services and complaints.  Land Rover customer complaints was allocated an executive to deal with my complaint. 48 hours later got a phone call from a very aggressive and defensive executive. 
 As we are both Psychiatrists, we understood their behaviour they were worried that we might make a claim but truly we just wanted someone to understand what happens to customers when their car breaks down and are away from home.
Never ever again! Land Rover could learn a thing or two from Mercedes impeccable customer service, who feel involved in customer experience.
If you are considering purchasing an LD be warned, once you have parted with your cash, they don’t give a damn!",1,Land Rover
76,Sajid Rasool ,Land Rover dealership,en,2019-06-21T21:33:09Z,"The customer service care I received after placing an order for a brand new 2019 Evoque has been a absolute devastating and terrible experience.  It has caused me a massive amount of anxiety and frustration considering I spent nearly £50k on a car.  They were keen on taking my money but the after care has been horrendous. 

I ordered a brand new evoque 2019 from A Landrover dealership and they said it would take 3 months to build.  2.5 months went by with no update on the progress of my vehicle.  I rang my sales advisor on a fortnightly basis to see what the progress was and whether there were any updates on my order. She replied back with the same answer each week “No nothing yet, no updates or any news”.  Basically fobbing me off and saying wait your 3 month time scale which was given. 

I raised a complaint with JLR and the following day I received a call from the dealership to say my order has been cancelled and they have had to reorder the vehicle again. This would take another 3 months!!!.  Overall I would have to wait 6 months in order to receive my vehicle.

The dealership and JLR both arrogantly refused to compensate me for the delay in my ordered vehicle saying it was not their fault the vehicle was cancelled due to factory technical issues. They were very vague in explaining what the cancellation reason.  

I have had to lease a car out for these past 6 months due to needing the vehicle for my business, which has resulted me in a massive financial loss.  Yet JLR are unable to lend me a courtesy car until my vehicle has been built. 

I am extremely disappointed with JLR and recommend people don’t buy their cars. I have never had problems with Audi and BMW dealerships as they have always been happy to help.  

I hope people read this feedback before pursuing with a purchase with JLR.",1,Land Rover
77,Grinch,Appalling Customer Service - well NO customer service,en,2019-06-20T16:13:30Z,"So we had two issues with our local dealer that we escalated to the Land Rover customer services.  They didn't come back to us for weeks so we chased them up.  The dealer had not responded to the complaint, so there was nothing they could do but wait was their excuse.  They promised a chase up.

More weeks went past .....

I am now chasing them again because, guess what, they didn't contact again.  WHY should I have to chase this down myself?  I have raised a complaint, the dealer is so hopeless they cannot respond and JLR think it's acceptable to just leave it at that?  

The issues were 1) known design defect causing high level brake like to leak.  They won't replace under warranty.  So my 4x4, go anywhere vehicle leaks when it rains.  Do they really think this is acceptable?  2) the car was dangerously slow pulling away from junctions, nearly got hit twice in side collisions it was so bad.  So they updated the software and charged me for that, even though the car was under warranty.  Apparently correction of life threatening dangerous software faults is excluded from your JLR warranty.

Utterly gobsmacking attitude of the dealer and JLR customer service - and why the vast majority of reviews on here are less than positive I assume.",1,Land Rover
78,Andrew Williams,Useless vehicles and appalling customer…,en,2019-06-12T20:48:40Z,Useless vehicles and appalling customer service. Engine failed after 38k miles and Land Rover thought this was ok. I wanted to have the engine tested but was told I had to buy the old engine at full lost prove. A complete joke. Don’t buy their products until they dramatically improve. My Land Rover discovery was off the road for 17 weeks in a 6 month period. I was offered £100 compensation,1,Land Rover
79,Jonathan Fowler,Range Rover Phev autobiography don't…,en,2019-06-08T12:47:08Z,"Range Rover Phev autobiography don't ever buy a landrover. Bought new £110k  and had nothing but problems and faults with the car from week 1

Rear Electric seat   Motors failed
Rear arm rest electric failed
Ev fails to kick in at all sometimes
All front panel fails to boot up sometimes until you have driven for 15 minutes
Front seat massage  freezes and leaves prongs out into your back making it impossible to drive. Fails after 2 minutes of use
Front seats used to move forward to allow rear seats to fold electrically but don't any more jamming rear seats into front seats
Sat nav you cannot start using until the car has been left on for five minutes . It takes that long to boot up

The list goes on and the car is brand new!
It takes weeks to get the car in due to needing a courtesy car with Westover motors yet this is all warranty work

Build quality is atrocious seriously dont buy one at all",1,Land Rover
80,Tom Clark,AWFUL aftercare service from BIRMINGHAM Nth,en,2019-05-30T09:46:13Z,"AWFUL aftercare service from Charlotte Diadio (Service Manager) and colleague Chantel in Birmingham North

Problems from start to finish with the newly purchased Velar and the attitude of the Birmingham (Tyburn Road) dealership due to lack of communication from Chantel and her 'Service Manager' Charlotte Diadio is appalling!  

The vehicle warning light came on in London and the vehicle has now been in Land Rover Birmingham for 8 days, Chantelle failed to return my call on Tuesday but did confirm to my partner the following day that the vehicle would be delivered to his home address on Wednesday in Birmingham.  As I am London based and was traveling back from the Middle East on business I returned to Birmingham from London to find the vehicle hadn't been returned as promised and no further phone calls had been made to us both to confirm why?  After 3 phone calls to Chantel the following day she finally took my call, I was advised that the vehicle was on route the previous day but the fault reappeared.  Some reason she thought it was ok not to call us to let me know?  I have now had to cancel today's meetings and have additional costs for this unnecessary trip from London to Birmingham where I work during the week.  I have now been offered an old courtesy car by the Service Manager that they will get to me 'when they can' and I have been given a time window.

As you can understand I'm not particularly happy with this but understand this can happen so I discussed it further with the 'Service Manager' to establish if we can meet some expectations for the return of the vehicle due to business commitments.  Firstly Charlotte would not take ownership of her colleague's lack of communication and just replied I will discuss it with her.  When asked can I have an idea of the return of my vehicle she just bluntly refused any time scales without even asking the repairs team?  The general attitude towards client experience is nonexistent with Charlotte and surprise someone with a lack of customer engagement can be classed as 'Management' and represent the Land Rover brand.  I have purchased a costly Range Rover Velar and can say between Strastone and Land Rover I may have experienced the worst customer journey of my life - If I could hand this vehicle back now I would without any hesitation!!!

DO NOT BUY - The poor service and problems out way the driving/purchasing experience",1,Land Rover
81,Stevie k,"Range Rover velar, stay away from the brand!",en,2019-05-26T19:25:59Z,"I bought my Range Rover velar on April 1st (no joke) after driving 10 miles no sound from any safety features , phone, radio or warnings, after 5 days I returned back to the dealer,they couldn’t upload new software so it was returned to morrison’s Stirling (john Clark group) they had the car for three weeks, two weeks into the repair I informed them that I wished to reject the car as it was not fit for purpose! It was returned to me on the third week, I still want to reject the car, they offered me £300 compensation, what a joke , stay away from this garage and vehicle type, even though the car looks great, way behind in technology and customer service! The only reason I gave one star, is because there is no zero!!!",1,Land Rover
82,DJK,Jaguar Land Rover deliberately ignored…,en,2019-05-24T01:39:03Z,"Jaguar Land Rover deliberately ignored dangerous complete electrical failures on a 2014 Evoque, claiming the loss of dash display, headlights, central console and braking and steering assistance, whilst the vehicle was being driven at 70mph, was a ""normal"" function on the Evoque power management system. Land Rover have not found the fault; however, they are attempting to force the owners to take back the vehicle, putting their family and other road users at risk. Apparently, it is easier and cheaper for Jaguar Land Rover to handle litigation costs from the injury or death of their customers, than it is to address the faults on their vehicles. Lesson - AVOID JAGUAR LAND ROVER IF YOU VALUE YOUR FAMILY'S SAFETY.",1,Land Rover
83,David Storey,Land Rover customer service dept is a joke,en,2019-05-19T13:11:39Z,"Land Rover customer service dept is a joke. Bought a Land Rover Autobiography and within a year the connected apps stopped working...JLR sales prevention dept said they cannot support me anymore...not bad for £110000 worth of their product. They refused to pass me to anyone in a senior position. Sold it after 12 months due to being very frustrated with JLR and the local dealer. Bought a Lexus and they cannot do to much to please...even lent me a car whilst waiting for delivery. 
Well done JLR you deserve to lose all your customers.",1,Land Rover
84,Karen,Bad very bad,en,2019-05-17T09:40:41Z,"Bad very bad, (Bolton). Best way to describe a big fat joke,
Don’t get anywhere, you are avoided, arrogant, condescending,
Talk to you as you know nothing, not interested, so got an
Independent well trusted technician to fix my Evoke, guess
what Bolton said he was wrong as well, Warranty Assesor 
came and agreed with my Technician, he fixed my car, told
Bolton , not interested, at the same time , had a phone call
doing some good deals do I want to trade in, you can’t make
this up.",1,Land Rover
85,Price,Waste of money,en,2019-05-14T20:49:54Z,Waste of money! Dont be deceive by the name. I would rather drive an old banger that this prestigious yet unreliable machine.,1,Land Rover
86,Mark watson ,Getting there !,en,2019-05-10T13:10:19Z,"Love the car !
Shame about the back up ..",3,Land Rover
87,Craig Hughes,My only advice is please do not…,en,2019-05-07T17:13:29Z,"My only advice is please do not purchase a Range Rover Sport.  We purchased a Range Rover last Feb and within 1 month we had brake issues.  It took the garage 6 weeks to book in the car to replace the pads, 6 weeks later we had the same fault and yet again it took a further 8 weeks before the garage could fit our car in for yet another set of brakes. Later that year we noticed a small judder when driving I called the Stratstone Hanley Branch to book in my car for a service and informed them of the issue they said we will look at this but we can't fit your car in for 10 weeks..!! Before the car went in for a service the fault got worse and the car became unsafe.  We ended up calling Land Rover Assist only to be told that we now had a prop fault.  After complaining to the garage about the number of faults in our first 12 months they informed us that they could only keep repairing the car they would not refund our money. The dealership said that we would have to report this to Black Horse Finance (Range Rover Finance).

We did so and a lady Rachel Roberts investigated the problem and eventually concluded that the dealership had resolved all the issues and offered me £250 as a compensation offer for the fact that the car had spent over 9 weeks in the garage within 12 months of purchase.  The lady concluded that having two sets of brake pads within a few months was ok for a Range Rover. I did not take her offer but because we needed the car we had to take the car back. Range Rover confirmed that all the faults were now fixed. Two days after collecting the car the fault reappeared so we called the dealership only to be told that Stratstone had sold out to Rybrook and they would not assist!!!  We called Black Horse only to be told the case was now closed as we did not except the £250 offer.  After calling and emailing the head of each dealership we eventually got the car back to the garage only to be told that the car had 3 buckled wheels and this was causing the issue, (although the garage had kept the car for 4 weeks and had also completed a full service) we asked why they had not picked this up sooner and they say they weren't sure!!!.  The wheels however were not covered under manufactures warranty therefore we would have to pay for new wheels.  I refused due to the fact that the wheel issue must have appeared before we purchased the car as the brake issue was linked to the wheels..!!  We argued for 3 weeks before the dealership agreed to rectify the fault for free.  We received the car back but the wheels were not changed they were still the original set.  I called the garage and they said that they had managed to repair the faults without changing the wheels. 

Two weeks later the judder came back and we had to call out Land Rover Assist as over 4o miles the car felt unsafe to drive, once again the engineer said that the car would require to go back to the garage as it was not driving correctly.  Land Rover assist said that they would report this to the dealership and someone would contact us. A week passed and nothing happened, we called Black Horse and they said they could not do anything as this was a new fault although still linked to the driver comfort.!!  We said that we would like them to return our money less payments made and they could take their car back, they refused.  

We are still chasing the garage to collect our car but since last week we no have an alarm on the dash saying the brakes require to be changed!!!! I am sure any intelligent person (who is not a car mechanic) can see having 3 sets of brake pads in the first 12 months is not normal.!! Although Rachel Roberts at Black Horse believes all these faults are not linked.!! My advice is to keep clear from Black Horse, Range Rover and Strastone.  The garage gave me a loan car, which was a Ford Fiesta and it was a far superior car to the Range Rover and was totally gutted when they gave me back the range Rover..!!",1,Land Rover
88,Clare,"Stable ,sleek design ,Best of the best.",en,2019-05-05T13:46:28Z,"Stable ,sleek design ,Best of the best.",4,Land Rover
89,Bryan Lovewell,I am so pleased i have read all of the…,en,2019-05-02T14:12:43Z,"I am so pleased i have read all of the reviews, i was about to purchase a brand new evoke, i have now decided not to. Will look at other brands. Rovers loss for poor service!",1,Land Rover
90,Paul,I have been waiting since November 2018…,en,2019-04-29T17:47:52Z,I have been waiting since November 2018 for JLR to fix a creaking brake pedal on a Range Rover Sport which I bought new in 2017. The service dealer Lancaster Tonbridge say they can't fix the problem despite the fact this is a known issue with the brake booster. Lancaster arranged for JLR to send a Field Engineer on 1st April (I should have known) to resolve. A few days before anticipated date received a call from Lancaster saying FE had to cancel as called to an urgent meeting in Coventry. JLR would however advise a new date w/c 1/4/19. Have since been advised by dealer FE are currently confined to Coventry? Called JLR Customer Experience to try and find out when someone would look at the car. Since then numerous calls to JLR. Each time advised matter is with the Technical Dept of JLR. I'm only asking for two things (1) when will the FE visit the dealer to look at the car (2) Why the FE appear to be not making dealership visits?? Communication from JLR zilch. Above & Beyond the World's Worst Customer Service!,1,Land Rover
91,Andrew Baker,"Nice car, pity they can't design and build them properly.",en,2019-04-29T11:51:14Z,"Bought a used ""exceptional"" Disco 3 on impulse despite reading the horror stories - I knew it was a mistake. I have done 2000 miles in it since buying and it has let me down twice in that short time. First, all power was lost which turned out to be an EGR valve (£400) then the fuel cap wouldn't open and then broke in half at the garage so couldn't refuel.  Arrived late at Gatwick after swapping cars to collect my partner who flew back from the US and was stranded waiting for me.  Ok so the car is 10 years old but what hope is there if they can't even make a reliable fuel cap ?? Apparently the fuel filler door also gets jammed solid....

The build quality of the interior is poor, lots of cheapo squeaky plastic, worse than a 20 year old mitsubishi van we use. Disco drives well but there's always a nagging feeling that it will dump you somewhere horribly inconvenient and cost a large pile of money, time and grief to sort out. 

I owned a Defender 110 tdi for 150,000 miles - never a problem despite 5 African desert trips as far as Niger -- all off road plus daily useage - simple robust engineering. 

In fact I have just bought another 22 year old one to refurbish for more desert trips, such is my faith in the basic nature of the machine.

I did think long and hard about using the Disco for such trips but the poor design of certain systems, eg: handbrake cable motor which is supposed to be cleaned after 50 miles of off road use !!!, the electronics controlling the air suspension, the similarly under specced air compressor (now supposedly more robust) that overheats and goes into sulk mode leaving you without any suspension until it cools down, meant that taking it outside of Europe was a major red flag - in fact even outside the UK. Even having a blown brake light bulb can mean that the whole car goes into limp mode !!!

Discos are hideously complex (new ones more so). The fact that they are neither designed or built properly combined with a high degree of complexity that main dealers are usually stymied by problems. Just read the reviews (Land Rover Hell) - there's no smoke without fire.

Current Land Rover management has lost the plot and should have kept things simpler, stop chasing Chinese and US profits and focus on quality.

Do they ever look at what other car manufacturers are doing ? If they don't, they should. If they do, they don't see.

The new Defender is going to repeat the sad cycle of over complexity and poor quality. Good luck going to Niger in one of those. 

I can't help thinking that the Land Rover management of the 50's for example wouldn't have been quite so gormless.

My advice - don't. Buy something else....",2,Land Rover
92,carmen maharaj,"Good Day , Absolutely shocking customer service at CMH Land Rover Cape Town!",en,2019-04-24T12:07:45Z,"Good Day

I would like to express my disappointment from your unsatisfactory level of service. I have expected much more from a prestigious and reputed company of your standard.

Absolutely shocking customer service at CMH Land Rover Cape Town!

Disgusted by their care. Land Rover you should be ashamed of yourselves!!!!!

On 13th February 2019 I  bought a brand new 2019 Discovery Sport 2.0 i4D SE from CMH Land Rover Cape Town. I initially had problems after just 4 weeks with the stop start , voice control system and HDMI/USB Port and inform the sales person.
The car went in numerous times for this but up until today the stop start and HDMI/USB  still not fix.
I was told that they will contact me when the car is ready but I had to contact them numerous times to find out what’s happening.
After calling them all day I went to the garage to fetch my car & I had to wait for 45+minutes only to find out that  the problem was still not fixed . 
I was told that I need to bring the car back whenever I can.

This is so disappointing!
So disgusted by their care!!
Worst After Sales Service Ever!!!

The sales person Jacques Windell is brilliant.

I hope you agree with me that this is not acceptable under any circumstances. I trust that you will deal with this issue in a top urgent fashion. I also trust that you will take the necessary precautions to prevent such incidents in the future.

Awaiting a response a.s.a.p. as this is an URGENT MATTER.

Regards

A very unhappy customer

Carmen Maharaj",1,Land Rover
93,George ring,Bought a landrover svr with urban front…,en,2019-04-18T15:09:53Z,"Bought a landrover svr with urban front and rear bumper fitted to it when I bought the car.
I have owned the car for 18 months and now the car has covered 22k miles and it has 16 months manufactures warranty left. 
been in to land rover bishops stortford 3 times on the last visit was when driving on the motorway the bonnet latch broke on the offside and the bonnet flew up they changed the latch under warranty and when i picked car up they adjusted the bonnet SHOCKING it is twisted I said emm thats all we can do.
so I called land rover uk they said go to land rover Hatfield they have had the car for 1 month and now said that its not covered under warranty 
this is what they emailed me.
Thank you for taking the time to raise your concerns with the Customer Experience Centre.  It was disappointing to learn of the issues you have experienced and on behalf of Jaguar Land Rover I would like to apologise for any inconvenience or frustration caused.  
 
After reviewing the concerns raised relating to the bonnet latch and gear box I can confirm that unfortunately, neither Land Rover Bishops Stortford or Grange Land Rover were able to identify a fault with the gear box therefore both retailers have been unable to carry out any any actions to rectify any concerns. In relation to the bonnet latch, regrettably as there is evidence of significant modifications on the vehicle in that a non Jaguar Land Rover approved Urban Body Kit has been fitted, we are unable to account for any concerns that may have arisen as a result of these non approved modifications. Therefore, we will not look to support with the costs of the repair as there is no evidence to suggest that this is a result of a manufacturing or material defect. 
 
You have also mentioned that you purchased the vehicle from Alexander Prestige and the urban body kit was already fitted to the vehicle, however this is not a Jaguar Land Rover approved retailer and we did not manufacture the vehicle with these modifications fitted. With this in mind, Jaguar Land Rover would not be able to account for the history behind the vehicle or account for any work or modifications that have been carried out on the vehicle by external, third party companies. 
 
Should you have concerns with the condition of the vehicle that you have purchased and any modifications that are present on the vehicle, I would recommend that you raise this with your point of purchase. 
 
It does however remain that the final position of Jaguar Land Rover is that as the concern has not been deemed to be the result of a manufacturing or material defect, we would not be able to provide any financial assistance regarding any repairs required. Should you wish to seek third party independent advice and should we receive contact from your chosen representative, I can assure you that we will respond accordingly.
 
I appreciate that this is not the outcome that you were hoping for, however I trust this has clarified our final stance in the matter. 
Your sincerely. 
Customer Solutions Executive 
UK Customer Experience Centre  
01926691657",1,Land Rover
