Column1,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
111,Mike McGrane,Could have been 5 out of 5,en,2019-06-26T09:49:09Z,"The Car Purchase was seamless, but unfortunately they failed with the Handover & the After-sales. eg

PDI not carried out to standard on the vehicle,. Crack on rare bumper, stone chips on bonnet. 
No, Seven-day driveway Insurance, because JLR offices where close on date of collection, Found out later that this could have been done online through Rockar.
Outstanding JLR Campaign's on the vehicle, which required the vehicle to be booked back in. 
Not all the outstanding campaigns was carried out. Still waiting for After-sales to at least acknowledge my last email in regard to the Outstanding Campaigns. 
Limited range of courtesy cars available. Was entitled for alike for like, but ended up with a Combustion Engine car.
Despite all the above issues. Would purchase through them again.
Just hope they take this review onboard. All these issues could have been avoidable.",3,Rockar
112,Nat,excellent service,en,2019-06-25T11:33:25Z,Seamless  process in ordering a brand new car,5,Rockar
113,Umar Iqbal,Excellent customer service by Daniel,en,2019-06-22T14:39:38Z,"Test drove the new Evoque, excellent customer service provided by the two Daniel's. The first Daniel drove the car outside the car park for us and even picked us up afterwards. The second answered all my questions until I was satisfied with the responses. Both gents were very polite and helpful. A real pleasure. Looking forward to going back to test drive the new E pace next week.  Thank you.",5,Rockar
114,Mr Manjit Kumar,excellent service provided throughout…,en,2019-06-21T17:07:30Z,excellent service provided throughout the whole of the car buying process,5,Rockar
115,David,Car soon to be delivered,en,2019-06-21T15:32:09Z,"Car soon to be delivered.  So far, everything has been perfect.  Big thank you to Christian and all his team.",5,Rockar
116,Adam markson,Nice idea but pretty unresponsive.,en,2019-06-21T12:41:38Z,Good idea but actually quite unresponsive and a number of issues.,3,Rockar
117,Steve High,A very easy process,en,2019-06-21T11:28:17Z,A very easy process. No pressure and honest pricing. Finance and trade in costs are offered openly and without deciept. This has enabled me to get what I consider to be a very fair deal.,5,Rockar
118,Adrian,Great modern way to buy a car!,en,2019-06-21T11:15:21Z,Great modern way to buy a car!,5,Rockar
119,Fabio De Lima - Novilho De Ouro,IT WAS ALL FAST AND GOOD !!!,en,2019-06-19T12:01:07Z,IT WAS ALL FAST AND GOOD !!!! I'M HAPPY,5,Rockar
120,Viktor,Staff was professional and helpful,en,2019-06-18T19:10:21Z,"Staff was professional and helpful. Buying a car was an easy, fast and seamless experience. Great Jaguar dealer!",5,Rockar
121,Leanne,Amazing service and so quick,en,2019-06-15T11:41:24Z,Amazing service and so quick! I had my new Discovery sport within a week of placing my order!,5,Rockar
122,manjit kumar,First class customer service,en,2019-06-14T18:56:57Z,"First class customer service, test drive of car excellent swayed my decision to buy",5,Rockar
123,Didier,Great service,en,2019-06-14T08:37:06Z,"Great service, no pressure to take a decision, great delivery service",5,Rockar
124,Obinna,Staff was good and helpful,en,2019-06-03T18:32:51Z,Staff was good and helpful,5,Rockar
125,Mr Benjamin Shahzad,I have very satisfied with Rocker there…,en,2019-05-29T08:25:12Z,"I have very satisfied with Rocker there service was great but not excellent
Just couple of thing to improve on
1) there was no sit down place in the store to go though the option when making a purchase I do understand if you just exploring then it fine to stay stand and go through options but if you are going ahead with purchase then may it’s good idea to take People to the back room and sit down and go through with options

The small office on the car park was good idea and helpful
The the customer service was good",4,Rockar
126,Robert Jones,Very efficient and friendly staff,en,2019-05-24T15:34:25Z,"Very efficient and friendly staff 
Robert Jones",5,Rockar
127,Barry,Never been easier to spend a fortune :),en,2019-05-24T09:45:19Z,"Never been easier to spend a fortune :)

Great people to deal with, always there to helps, and the end to end process is as simple and straight forward as it gets. If only the rest of life was this simple! :)",5,Rockar
128,Oluwatoyin,Great experience,en,2019-05-22T13:24:30Z,"Good afternoon,

Great shopping experience and easy processes till the end.

Many thanks.",5,Rockar
129,Stacy Benson,Excellent Customer Service Thanks Natalia and Olly,en,2019-05-22T05:24:22Z,"I want to say a HUGE thank you to Natalia and Olly who have both been extremely helpful. I was on the verge of purchasing a Range Sport only to have it swept away from underneath me by another prospective buyer. However fete always plays a hand and they both sourced me an even better specification of the car I wanted and provided me with an unbeatable deal. They have offered excellent customer service and both were very helpful, supportive and friendly and made the whole process of purchasing a breeze. Thanks again to the whole Rockar Team. I love my new car.",5,Rockar
130,Tim,Early days but very happy so far.,en,2019-05-21T15:24:38Z,Early days but very happy so far.,5,Rockar
131,Amre husseini ,Great Customer Centric team,en,2019-05-21T11:46:58Z,"Holly and Amy have been so patient, supportive and understanding. Trying their utmost to help me find the right car and then overcome financing issues. Truly a pleasure to work with them both.",5,Rockar
132,Jason ,Dealt with Christian extremely helpful…,en,2019-05-19T16:24:11Z,Dealt with Christian extremely helpful great service and easy to deal with.,5,Rockar
133,Wayne,Excellent service every step of the way,en,2019-05-19T15:35:59Z,Excellent service every step of the way. Thank you,5,Rockar
134,Chix,The team make buying a car a simple…,en,2019-05-09T16:35:00Z,The team make buying a car a simple process,5,Rockar
135,Mag,Great experience,en,2019-05-08T18:57:44Z,"Great guys, very friendly and knowledgeable. I was buying my first car, had no idea what certain things were and would I need it. They have explained everything I wanted to know, gave options.",5,Rockar
136,Neil,Really helpful and considerate staff,en,2019-05-07T15:39:11Z,Really helpful and considerate staff. Great that there was no need for negotiation as the best price was already offered. The most pleasant car-buying experience I have ever had.,5,Rockar
137,Ian,Customer service in store was good but lead time misleading....,en,2019-05-07T13:41:05Z,"Customer service in store was good. However, lead time was almost doubled from 12 to 20 weeks, after we had paid our deposit! We found this extremely poor and misleading, especially as we are expecting our first child in July, hence the need for a more appropriate vehicle.",3,Rockar
138,Alastair,Excellent service from start to finish…,en,2019-05-07T08:51:16Z,Excellent service from start to finish and a great option compared to the traditional dealer network. First class,5,Rockar
139,Charles Walker,A truly excellent experience from…,en,2019-05-06T18:54:43Z,"A truly excellent experience from initial call to collection of car. A real concierge service, that I'll willingly recommend.
Hopefully the after sales service matches.",5,Rockar
140,Ed,Fantastic customer service,en,2019-05-06T10:11:16Z,"Fantastic customer service, value for money and a very easy transaction. Thank you team Rockar!",5,Rockar
141,Roy,Really easy and hassle free purchase,en,2019-05-03T13:59:24Z,"Really easy and hassle free purchase, from selection, order processing to home delivery.
All stages are clear and transparent, the communication and website is really easy to access and navigate.
The staff are knowledgeable and energetic!
Very efficient transaction!
Roy",5,Rockar
142,TM,Used Rockar previously to purchase my…,en,2019-05-03T12:55:20Z,"Used Rockar previously to purchase my RR Evoque. This time I worked with Natalia,  who was fantastic with her support and help in what extras would be great. So I would really recommend meeting with her, to discuss all options with purchasing. 
Rockar makes life easier, clarity, ease of purchase and communication was great, I HAD previously gone to a LandRover dealer in East London and was 'served' by one of their reps and I found the service left alot to be desired. So well done Rockar ! Thru NATALIA you have made me a happy customer. Again :-)",5,Rockar
143,ANTHONY,Simply Amazing,en,2019-05-01T12:03:48Z,"Amazing experience, from test drive to purchase, hassle free and straight forward. Highly recommended definitely a much better way to purchase a car.",5,Rockar
144,Tim Hansell,These guys are the way forward,en,2019-04-20T15:10:26Z,These guys are the way forward - forget your local dealers who will only give you a good deal begrudgingly and after multiple painful visits. Thoroughly recommend Rockar LR,5,Rockar
145,Andrew,Excellent and easy process,en,2019-04-16T14:26:18Z,"Excellent and easy process. Team provided great advise and support with no pushing to buy or upgrade, which is totally opposite to normal dealers. Online process allows easy updating of the status and to access, download and sign documents before uploading again. Very simple but extremely effective, feels very comfortable and in control of what is a large personal purchase. I am converted to this new car buying process.",5,Rockar
146,Jimaan,Just a quick note to say thank you.,en,2019-04-16T14:05:23Z,"Just a quick note to say thank you.

The car arrived yesterday and I am really happy with it and the whole experience I have had with Jaguar and Rockar so far.",5,Rockar
147,Ruel Khair,This is how car buying should be!!!,en,2019-04-15T11:06:03Z,"We had the pleasure of dealing with Daniel and Natalia at Rockar, Stratford Westfield.
From walking in through the door to completing our order, we was treated with absolute professionalism and received fantastic customer service.
There were no pushy sales tactics.
Both Daniel and Natalia knew their stuff and made us feel totally at ease, taking time to explain everything and also guiding us through the entire process of the order.
It has been a great experience so far and I would definitely recommend Rockar.",5,Rockar
148,Surrey mum ,Really helpful no pressure…,en,2019-04-15T09:52:45Z,Really helpful no pressure conversation. They took the time.,5,Rockar
149,Andy Bartlett,The future is here!,en,2019-04-11T14:09:42Z,This was but far the best experience that I’ve ever had in buying a vehicle. A simple and easy process from start to finish. I have no hesitation in recommending Rockar. Thank you.,5,Rockar
150,Majid,Excellent experience,en,2019-04-11T08:58:14Z,"I am very pleased with the service, professionalism of the staff and the quality of the car (Jaguar XF), thank you.",5,Rockar
151,Graham Curry,Poor communication with me,en,2019-04-10T16:54:24Z,"Poor communication with me , don't know why, guess they must have staff of on the sick",1,Rockar
152,Antonio ,Extremely helpful,en,2019-04-07T07:36:19Z,"Extremely helpful, easy process in buying a car. Rockar is the future in car buying",5,Rockar
153,Adam,Great service!,en,2019-04-04T09:36:09Z,Great service!,5,Rockar
154,ND,Best car buying experience ever,en,2019-04-01T17:17:38Z,"My Jaguar F Pace arrived on Saturday and I couldn't be happier. This is best experience I've ever had of buying a car. I walked out of another Jaguar dealership a few weeks ago, feeling flummoxed by the finance deal that was offered and all the 'add ons' they were trying to sell me. I came across Rockar from an ad in Ad Trader and I'm so glad I did. From the first phone call to the follow up after delivery, it's been fantastic. They haven't tried to sell me gap insurance or paint cover or wheel cover or anything else I didn't want. They've responded to any queries I've had very quickly and efficiently. Delivery happened when they said it would and I was walked through all the controls and all my questions were answered. It was very smooth and I got a really good deal. I couldn't be happier!",5,Rockar
155,Victoria ID,Excellent service great communication…,en,2019-03-31T11:11:08Z,Excellent service great communication great deal compare to direct dealer can’t wait for my evoque.,5,Rockar
156,Jose,All very positive,en,2019-03-29T11:46:17Z,All very positive.  People are very friendly and always looking for solutions. Thanks,5,Rockar
157,customer,Deal with a gentleman called Will,en,2019-03-28T13:09:52Z,Deal with a gentleman called Will. Extremely responsive and helpful. Always called when he said he would and on line check out process was v smooth. Highly recommend,5,Rockar
158,Eta,From my initial informal telephone…,en,2019-03-27T10:32:51Z,"From my initial informal telephone conversations, right up to actually placing the order, has been an absolute pleasure - especially dealing with Chris.",5,Rockar
159,Sumandip Khaira,Great team in the store.,en,2019-03-27T10:04:20Z,Great team in the store.,5,Rockar
160,Angela Cartwright,An overall great buying experience!,en,2019-03-26T16:14:12Z,An overall great buying experience!,5,Rockar
161,Ishmoil,Could have done more,en,2019-03-25T12:22:35Z,Could have done more,1,Rockar
162,Michelle,Effortless. 5* buying process.,en,2019-03-25T10:02:38Z,"I recommend Rockar to anybody who is interested in buying a new Land Rover Jaguar, the team are very pleasant to chat to, very informative and polite. Effortless buying process!!",5,Rockar
163,Fouad Haghighat,Had a smooth experiecne with Rockar,en,2019-03-20T15:13:05Z,"Had a smooth experiecne with Rockar, so far so good. I would recommend if you want a Land Rover and massive savings!",5,Rockar
164,Steve,Happy bunny!,en,2019-03-19T10:16:08Z,"Ok, so I didn't even have to leave home. Deal was done by email and telephone, did my research, configured my car, sent those details to Rockar and they did the rest.",5,Rockar
165,Dilwara Begum,Vasiliana was a star,en,2019-03-12T12:05:56Z,"Vasiliana was a star, although we didn't manage to purchase a car, but i would def recommend her to friends and family in rockars. She had run through cars thorough and was very patient and informative and her customer service approach was A1! She was excellent!",5,Rockar
166,Paul,Excellent customer service,en,2019-03-07T14:00:13Z,"Excellent customer service.  Very pleased with all my interactions with Rockar from initial quote through to the ordering process.  Due to a change in circumstances I had to cancel my order, this was processed quickly and with care - deposit returned within 3 days.  Excellent communication and consideration throughout.  Will definitely deal with them again.",5,Rockar
167,Howard,The purchase of my new car was made…,en,2019-03-06T20:19:50Z,The purchase of my new car was made stress free by the staff at Rockar and I have already recommended them to a friend,5,Rockar
168,Amina,Wonderful service,en,2019-02-28T08:54:04Z,"Wonderful service, a lady called Lauren was extremely helpful. To be honest it was because of Lauren we felt comfortable and her service skills were beyond words. Thank you Lauren",5,Rockar
169,Frances,My experience has been great from start…,en,2019-02-27T18:43:28Z,"My experience has been great from start to finish. Chris was very helpful and informative and made the experience smooth and exciting! Also, best price around!!",5,Rockar
170,Andy,Great price and super easy,en,2019-02-11T19:55:51Z,Great price and super easy,5,Rockar
171,Sarah Enebeli,You don't take people's money just to…,en,2019-02-09T12:00:08Z,You don't take people's money just to end up declining their finance application and then take forever to return their money.,1,Rockar
172,Philip Yeung,Very speedy with their response,en,2019-02-02T13:08:08Z,"Very speedy with their response,  and price is very reasonable.  The online system is a great idea,  and have so much potential to improve in the future.  

Regards 

Phil",5,Rockar
173,Anita,Seamless way to buy a car,en,2019-02-01T14:02:32Z,"Natalia and Claudia know their stuff. Their product knowledge and enthusiasm for the cars is absolutely first rate and they both  do the brand proud.   They expertly guided me through all the options, being really honest about what was worth having and what options were superfluous to my needs. (No heavy push or cunning underhand sales tactics).  

Pricing is completely transparent and when I tried to beat it by seeking competitive quotes from other dealers - the other dealers couldn’t. 


Everything about buying through Rockar is seamless.  The test drive booking process and experience works on your terms and is so convenient. Their opening hours reflect the real world of today’s consumers. 

As long as the servicing experience lives up to the sales you’ll have a very happy customer for life.",5,Rockar
174,Tom Frame,Simple process and great car prices,en,2019-01-24T16:28:08Z,Simple process and great car prices,5,Rockar
175,AH,Great service nad very simple process,en,2019-01-24T15:30:54Z,Great service and very simple process,5,Rockar
176,Falconmick,Extremely low PX valuation.,en,2019-01-23T18:37:52Z,"Intended to order online, but got a PX valuation approx £5,000 less than anywhere else. Proceeded no further.",1,Rockar
177,Ferenc,I think this retailer the best choose…,en,2019-01-17T16:07:32Z,I think this retailer the best choice to buy car. Very simple and outstanding customer service. I can recommend to everyone.,5,Rockar
178,Alan,Brilliant dealership,en,2019-01-16T10:10:17Z,"Brilliant dealership, the most friendly and non pushy people.

The test drive was, take the car out for a spin and come back when your ready,  they have done the best deal and beaten other Jaguar dealerships by miles !!!!!

Car is being delivered to me Friday, cant wait !!


-Alan",5,Rockar
179,Dan,I dealt with Holly & Chris who were…,en,2019-01-10T11:23:01Z,"I dealt with Holly & Chris who were absolutely amazing. They got me the deal i wanted and was very happy with how friendly they were to deal with, and how easy the process was. I've been a Range Rover customer for years now, and whilst i love the cars, i have found customer service somewhat lacking. However, the Rockar team have been first class and i would thoroughly recommend them.",5,Rockar
180,John,Excellent Customer experience so far..,en,2019-01-08T09:37:33Z,Excellent Customer experience so far... Same as last time a bought a car through Rockar.,5,Rockar
181,John Walker,new Evoque,en,2019-01-04T20:10:50Z,"Excellent knowledge and very helpful and honest with the advice 
User friendly website and easy to follow with the support of Chris who was extremely helpful",5,Rockar
182,stuart,Simple and easy way to buy,en,2019-01-04T09:22:07Z,"Simple and easy way to buy.  Great price and the process on-line is easy.  

Once you've decided on the car then try Rockar.",4,Rockar
183,Mark,easiest experience buying a car I have…,en,2019-01-02T09:32:48Z,easiest experience buying a car I have ever had!,5,Rockar
184,JC,Taking the pain out of car purchasing,en,2018-12-19T11:08:36Z,"The ‘Youdrive’ Test drive was easy to organise and spending an hour with the vehicle was ideal. Ordering was also straightforward. 
Had a call soon after ordering to take me through next steps",5,Rockar
185,Mr Michael Burgess,Such a simple way to buy a car,en,2018-12-18T16:16:11Z,Such a simple way to buy a car,5,Rockar
186,Katie,Best Deal & Best Customer Service,en,2018-12-05T11:04:04Z,"Will and Holly politely and willingly answered my barrage of a million questions over days and days in order for me to select the right car for our family. Professional, friendly, helpful and the cheapest out there too! Great service all round.",5,Rockar
187,GH,Great website!,en,2018-12-04T22:48:20Z,Great website!,5,Rockar
188,Derek Ellbec,A great company to deal with.,en,2018-12-04T13:30:50Z,A great company to deal with.,5,Rockar
189,Phil C,Very positive,en,2018-12-04T11:28:31Z,"Very positive, with a good px process - nice not to have to drive 50+ miles to have it valued!",5,Rockar
190,Claire Harrison,Really helpful and friendly,en,2018-12-04T10:51:38Z,Really helpful and friendly,5,Rockar
191,Catherine,Very good service from the staff,en,2018-12-03T12:04:54Z,Very good service from the showroom staff. Not pushy and they knew everything about Jaguar and Range Rover. Would definitely recommend.,5,Rockar
192,Derick,New buying experience,en,2018-11-30T11:44:22Z,A very different experience to buying a car. All done online without visiting dealership. Great assistance received from Chris throughout. Definitely saved a lot of time compared to buying a car the traditional way.,5,Rockar
193,Trevor,Staff very professional and respond…,en,2018-11-29T17:35:58Z,Staff very professional and respond promptly to all my queries. Taking delivery in approx. 10 days. Dealt with Holly and fee confident the handover will be equally excellent.,5,Rockar
194,Chowdhury,Excellent customer service,en,2018-11-29T11:23:56Z,I’m really impressed about their service. I would recommend this company to anyone.,5,Rockar
195,Darren Raynor,Great buying concept with Rockar.,en,2018-11-29T10:09:36Z,"Great friendly service, easy & comprehensive online ordering system, with easy to use and enjoyable interface. 
No more snobby car salesman! 
Great showroom with YouDrive test drive service. 
Good to know your discounts are set up front without the need for to and throw bargaining. 
Just ordered my car and not sure if my finance has been accepted as it is unclear, perhaps then my only piece of feedback would be more clarity on this a the point of ordering. 
Other than that it’s been a pure pleasure. Thank You.",5,Rockar
196,Mr Kelechukwu Ihemere,An excellent car buying experience,en,2018-11-27T13:17:05Z,"This is my first experience purchasing a car through online sales. I have always used a local dealership. It was a pleasant surprise to me at how Rockar made it very easy, professional and straightforward. Thank you for opening my eyes to a new way of car buying.",5,Rockar
197,Raymond,Rockar service,en,2018-11-26T13:34:33Z,Great service,5,Rockar
198,Nadia,The staff were experienced GOOD…,en,2018-11-23T14:57:49Z,"The staff were experienced GOOD customer care and services knowledgeable enjoyed my test drive would love to stay in touch with marketing 

Many Regards 

Nadia noel",5,Rockar
199,Martin Knight,A new way to buy a new car!,en,2018-11-21T11:35:55Z,Such an easy and new way to find and buy a car. I can’t thank the team enough for all the help and support they provide. As a customer I didn’t feel pressured and there is no need to worry about haggling. They are there to help you make the correct choice and there should be more dealerships like Rockar.,5,Rockar
200,Anthony,Great service!!,en,2018-11-15T10:51:01Z,"The best car buying experience ever! Best rates, fantastic customer services!! Very transparent",5,Rockar
201,Liam,Great experience with staff who were…,en,2018-11-13T18:41:04Z,"Great experience with staff who were friendly, helpful and able to offer great prices. Fully reccomend.",5,Rockar
202,Ramcy,Rokcar review,en,2018-11-12T11:45:31Z,Staff are helpful.,4,Rockar
203,Warren,Amazing to deal with,en,2018-11-09T13:33:28Z,"Amazing to deal with, the web experience is spot on..
thoroughly recommended..",5,Rockar
204,Neil Morgan,Car buying without the hassle,en,2018-11-09T08:50:32Z,"Having just taken delivery of my new Jag XE I can honestly say this was the best, transparent  and easiest car buying experience I have ever had across all manufacturers. Their website was easy to use to allow you to tailor your car and finance. No need for hour long appointment to sign paperwork at the dealer. Amy, Chris and the team were always on hand on the phone for any queries and no being kept on hold either while the salesperson is ‘seeing other customers’. Car even arrived a few weeks early which was great. Delivery of my car was convenient and fitted around me. Absolutely amazing and refreshing customer service. Well done for raising the bar.",5,Rockar
205,B O,Excellent customer care,en,2018-11-06T14:21:02Z,Excellent customer care.... Very patient .,5,Rockar
206,Alan,Hassle free,en,2018-11-06T14:13:05Z,"If you know exactly what it is you want, I couldn't think of a better way of buying a new car from the comfort of your own home. No hassle, no salesman pressure to include extras you don't want or need.",5,Rockar
207,Harjit Chahal,Great price and easy to use website for…,en,2018-10-29T12:18:11Z,Great price and easy to use website for ordering process look forward to delivery of my new car.,5,Rockar
208,Izabella,The Brand ambassador (Hasret) that…,en,2018-10-29T09:37:51Z,The Brand ambassador (Hasret) that attended to us is a Star*. She made the heculian task of choosing seem like a walk in the park.,5,Rockar
209,HU5N41N 786,Good,en,2018-10-29T08:12:18Z,Nice service will go again,5,Rockar
210,Brian,a really excellent way of buying,en,2018-10-25T09:42:41Z,"a really excellent way of buying, A no hassle experience, friendly staff to assist when needed, thank you  Rockar......",5,Rockar
211,"Customer, never returning customer. ",Excellent communication,en,2018-10-23T09:58:35Z,Excellent communication. Superb service. Explained everything I needed and met all my expectations. I bought a car!,5,Rockar
212,Georgiana,Great service and easy to purchase.,en,2018-10-23T09:54:49Z,Great service and easy to purchase.,5,Rockar
213,Ian,Great service and support,en,2018-10-20T19:38:41Z,Great service and support,5,Rockar
214,John Benson,Can't recommend highly enough.,en,2018-10-17T07:07:24Z,"Can't recommend highly enough.
Holly was amazing from start to finish and secured me the best deal. Blew all other Land Rover dealerships out of the water. First class all the way. Highly recommended.",5,Rockar
215,Sharron Richards,On the whole a brilliant way to buy a…,en,2018-10-15T19:30:31Z,On the whole a brilliant way to buy a car and the team could not be more helpful. Could do with more material on the website. Otherwise excellent.,4,Rockar
216,Mr Simon Thompson,Will made me feel very comfortable and…,en,2018-10-15T10:39:28Z,"Will made me feel very comfortable and at ease with the whole process. 


Regards

Simon Thompson",5,Rockar
217,Tushar Mamtora,Great service and easy to purchase,en,2018-10-12T11:14:06Z,Great service and easy to purchase. All transparent.,5,Rockar
218,Mr B,Well worth a visit,en,2018-10-11T19:03:56Z,"A very good experience in ordering my new vehicle at the store, I got exactly what I wanted with ease. Professional and curtious staff with good knowledge of the products they are selling.",5,Rockar
219,KJ,Excellent experience,en,2018-10-11T15:03:17Z,"Excellent experience, straight forward, friendly staff and I ended up buying an F pace which I was after since long and was looking for good deal which Rockar did. Thanks.",5,Rockar
220,Tim,Great Service  !,en,2018-10-10T14:32:16Z,Great Service  !! will buy from them again .,5,Rockar
221,Trevor,Would not buy a vehicle from here again!,en,2018-10-07T20:24:16Z,Awful customer aftercare. Don’t care if your brand new Range Rover has faults.,1,Rockar
222,Sunny ,Shocking dealership,en,2018-10-06T10:28:01Z,Shocking dealership. Needs to be shut down,1,Rockar
223,susanne,Rockar were outstanding from the first…,en,2018-10-05T10:54:22Z,Rockar were outstanding from the first contact I had to the safe delivery of my car. It arrived with a little issue and they took it straight back and corrected everything. I wouldn't hesitate to recommend them and will definitely use them again. Thank you Rockar for restoring my faith in car sales!,5,Rockar
224,Mr Aggarwal,Thank you customer service .,en,2018-10-04T18:21:22Z,"Thank you customer service who saved the day .
There was an issue with the finance caused by sales staff .
Otherwise all went very well .
No waiting for new car 
Would use them again",4,Rockar
225,Huy  Vu,Easy and useful,en,2018-10-03T22:13:20Z,Easy and useful. Great help 👌🏽,5,Rockar
226,Jackie Ann,A Very good professional service,en,2018-10-02T16:16:02Z,A Very good professional service . Staff amazing & so helpful .,5,Rockar
227,John,Impossible to review at this time,en,2018-10-02T12:51:00Z,"It is impossible for me to review Rockar until delivery of my vehicle has taken place, which is not for 14 weeks !",3,Rockar
228,Mickael,VEry good service,en,2018-10-01T16:12:20Z,Made me feel at easy - staff are not commissioned based so won’t try to sell you things you don’t need,5,Rockar
229,Steven,A very pleasant hassle free…,en,2018-09-24T09:12:31Z,"A very pleasant hassle free straightforward experience, Lauren was very helpful and accommodating when dealing with my purchase.",5,Rockar
230,Bright ,Excellent customer service and easy to…,en,2018-09-23T09:46:15Z,Excellent customer service and easy to use online service,5,Rockar
231,Ian Coburn,Great place to but a car,en,2018-09-19T19:49:06Z,"Nice , well informed staff. Decent way to but a car",5,Rockar
232,Simon,Great service from Holly,en,2018-09-17T22:23:33Z,"Great service from Holly, and the online portal for the sale process is fantastic.  So much better than the traditional way.",5,Rockar
233,Tina,"Great service, breath of fresh air!",en,2018-09-17T16:50:52Z,"Great so far, no car yet however knew there would be a wait, great contact from the start, so easy almost felt/ feels to good to be true. Very easy to deal with on the internet, web site easy to navigate and when calling the show room everyone great. Holly was attentive and informative and any email re the schedule is dealt with almost immediately. Having, called, visited and researched  lots of dealers this is by far the best experience, most definitely recommended, keep it up.....until and after delivery/ collection day and everything will have been perfect.",5,Rockar
234,Mr Richard Starkey,Sceptical At First But .......,en,2018-09-13T08:35:38Z,"Only just entered the buying process so can only speak for the ordering side of things.

I was sceptical at first, as I thought the website might be a scam to get the deposit money.

I received an online quote and was amazed by the VERY competitive price. (you know what they say .... ""if it seems too good to be true"" ......) 

I decided to visit the 'Showroom' (read 'Shop') in Westfield Shopping Centre, Stratford and it IS there and all above board, with very helpful and knowledgeable staff.

I have to say ... ""It wasn't too good to be true""

I'm now looking forward to my new car.",5,Rockar
235,Paul Christian,A breath of fresh air - car buying without the sleazy salesman,en,2018-09-12T11:04:17Z,"Great website, great support line, great service. Take full control of your car buying experience and don’t feel like you haven’t been given the full picture or the best deal.",5,Rockar
236,Vik,Incorrect information on website about…,en,2018-09-11T21:23:15Z,Incorrect information on website about Drive pack in SE.,1,Rockar
237,Richard Servidei,Rock Stars and five stars for Rockar!,en,2018-09-11T09:59:30Z,"Having visited several car showroom dealerships looking for a new vehicle, i had met with a handful of various salespeople.  Unfortunately i left each occasion very dissatisfied with the service and did not feel as though i was getting the answers to the various questions i had.

With a leap of faith i called Rockar to see what it was like buying a car online with a bit of help over the phone.  Will Coyle helped me out along the way and i cannot believe i have never bought a car like this before.  Potentially one of the easiest online transactions i have placed and by far the most enjoyable car buying experience i have gone through.  I was shocked at how straightforward the process was and delighted by the fact that Will was able to answer all of my questions swiftly.  

I would highly recommend Rockar and process of buying online.",5,Rockar
238,peterm,An excellent service,en,2018-09-11T08:53:37Z,"An excellent service , fast and efficient",5,Rockar
239,Steven,Rocker takes the hassle out of buying a car,en,2018-09-11T08:50:50Z,"Rocker takes the hassle out of buying a car. No haggling, just great prices and easy to use. 
Their quote beat any car salesman’s offer and it was pain free.",5,Rockar
240,Hassan,Really pleased with how helpful the…,en,2018-09-10T20:24:10Z,Really pleased with how helpful the staff was from the time I first walked in to the time I ordered the car a week later.,5,Rockar
241,Sarah-,Great service so far!,en,2018-09-10T19:07:04Z,"Will called when he said he would, and on the one occasion he didn’t was very apologetic and gave the reason.  Explained well how ordering online worked etc",4,Rockar
242,Ian,Hassle free car buying!,en,2018-09-10T10:47:53Z,"Simple, straightforward and hassle free way to buy a car.  Easy to use finance and part exchange calculator.  Would highly recommend.",5,Rockar
243,Nicole,Excellent service from start to finish…,en,2018-09-10T09:46:26Z,Excellent service from start to finish .... and an excellent overall price. Can't fault them,5,Rockar
244,Michelle,They made it so easy,en,2018-09-08T11:01:55Z,"They made it so easy

Answered my questions

Would recommend as a modern way to buying a new car!!",5,Rockar
245,Andrew,The new and better way to buy a car,en,2018-09-08T09:27:59Z,"A refreshing alternative to the antiquated and pompous experience of visiting a car showroom. Didn’t visit them in person and dealt on the phone with Will, a very helpful customer experience guy, car ordered online with no hassle. Online system allows for car configuration build (slightly buggy but their IT guys will sort in no time). As well as a positive customer experience, the cheapest APR and dealer contribution on the sreeet. Very transparent model.",5,Rockar
246,Michael,Very helpful and straightforward.,en,2018-09-07T20:46:52Z,Very helpful and straightforward.,5,Rockar
247,Jaina Bejoy-Nair,The team was very accommodating and…,en,2018-09-06T10:49:04Z,"The team was very accommodating and dealt with many of my phone calls! I spoke with Will Coyle, who explained the process and dealt with all my queries patiently. I also spoke with Chris (unsure of surname) in Customer Service, who also dealt with all my queries patiently. Excellent service, both had made sure that we were able to get our new car on our preferred days. 

Using the online way of purchase was great and easy. I was able to check on what was happening and what the next steps were. I also think that uploading all the relevant documents were a great way of getting the paperwork done too.

Just one small comment, I was told that I would not be able to get a drive away insurance cover because the car was ""registered"", I thought all cars were registered, new or old. Anyhow, Chris gave me the telephone number for the land rover insurance department and they said that I am entitled and was unsure why I was told this.  Nevertheless, I have now got cover for 7 days!  

Thank you Will and Chris at Rockar for all your help.",5,Rockar
248,darren murphy,Easy to order,en,2018-08-20T21:39:16Z,"Easy to order 
Now waiting for paperwork and see if meets delivery date",4,Rockar
249,Matt Freeman (Southend Essex),Excellent very friendly helpful none…,en,2018-08-20T19:30:10Z,Excellent very friendly helpful none pushy staff. Second to none.,5,Rockar
250,Bläeke Downie,Great relaxed experience,en,2018-08-20T17:55:26Z,"All the team were very helpful and there was definitely no “sales talk” we were able to come to an informed decision by ourselves in a relaxed environment having test driven the car alone. We weren’t planning on buying a car that day, but it was a great deal and just came naturally. Joshua was particularly helpful and friendly. All in all a great experience!",5,Rockar
